RentalID,Year,RentalPrice,Province,Town,RoomType
408,1987,296,Alberta,Calgary,Bachelor units
409,1987,384,Alberta,Calgary,One bedroom units
410,1987,502,Alberta,Calgary,Two bedroom units
411,1987,620,Alberta,Calgary,Three bedroom units
412,1987,230,Alberta,Camrose,Bachelor units
413,1987,327,Alberta,Camrose,One bedroom units
414,1987,366,Alberta,Camrose,Two bedroom units
415,1987,408,Alberta,Camrose,Three bedroom units
416,1987,303,Alberta,Edmonton,Bachelor units
417,1987,374,Alberta,Edmonton,One bedroom units
418,1987,459,Alberta,Edmonton,Two bedroom units
419,1987,507,Alberta,Edmonton,Three bedroom units
420,1987,310,Alberta,Grande Prairie,Bachelor units
421,1987,389,Alberta,Grande Prairie,One bedroom units
422,1987,461,Alberta,Grande Prairie,Two bedroom units
423,1987,531,Alberta,Grande Prairie,Three bedroom units
424,1987,362,Alberta,Leduc,One bedroom units
425,1987,442,Alberta,Leduc,Two bedroom units
426,1987,333,Alberta,Lethbridge,Bachelor units
427,1987,390,Alberta,Lethbridge,One bedroom units
428,1987,461,Alberta,Lethbridge,Two bedroom units
429,1987,513,Alberta,Lethbridge,Three bedroom units
430,1987,299,Alberta,Lloydminster,Bachelor units
431,1987,390,Alberta,Lloydminster,One bedroom units
432,1987,463,Alberta,Lloydminster,Two bedroom units
433,1987,518,Alberta,Lloydminster,Three bedroom units
434,1987,277,Alberta,Medicine Hat,Bachelor units
435,1987,304,Alberta,Medicine Hat,One bedroom units
436,1987,367,Alberta,Medicine Hat,Two bedroom units
437,1987,422,Alberta,Medicine Hat,Three bedroom units
438,1987,311,Alberta,Red Deer,Bachelor units
439,1987,377,Alberta,Red Deer,One bedroom units
440,1987,444,Alberta,Red Deer,Two bedroom units
441,1987,516,Alberta,Red Deer,Three bedroom units
442,1987,488,Alberta,Wood Buffalo,Bachelor units
443,1987,445,Alberta,Wood Buffalo,One bedroom units
444,1987,530,Alberta,Wood Buffalo,Two bedroom units
445,1987,672,Alberta,Wood Buffalo,Three bedroom units
446,1987,286,British Columbia,Abbotsford-Mission,Bachelor units
447,1987,345,British Columbia,Abbotsford-Mission,One bedroom units
448,1987,418,British Columbia,Abbotsford-Mission,Two bedroom units
449,1987,325,British Columbia,Abbotsford-Mission,One bedroom units
450,1987,401,British Columbia,Abbotsford-Mission,Two bedroom units
451,1987,266,British Columbia,Campbell River,Bachelor units
452,1987,309,British Columbia,Campbell River,One bedroom units
453,1987,367,British Columbia,Campbell River,Two bedroom units
454,1987,405,British Columbia,Campbell River,Three bedroom units
455,1987,253,British Columbia,Chilliwack,Bachelor units
456,1987,324,British Columbia,Chilliwack,One bedroom units
457,1987,403,British Columbia,Chilliwack,Two bedroom units
458,1987,310,British Columbia,Courtenay,One bedroom units
459,1987,359,British Columbia,Courtenay,Two bedroom units
460,1987,342,British Columbia,Courtenay,Three bedroom units
461,1987,238,British Columbia,Cranbrook,Bachelor units
462,1987,292,British Columbia,Cranbrook,One bedroom units
463,1987,335,British Columbia,Cranbrook,Two bedroom units
464,1987,362,British Columbia,Cranbrook,Three bedroom units
465,1987,248,British Columbia,Dawson Creek,Bachelor units
466,1987,313,British Columbia,Dawson Creek,One bedroom units
467,1987,374,British Columbia,Dawson Creek,Two bedroom units
468,1987,415,British Columbia,Dawson Creek,Three bedroom units
469,1987,201,British Columbia,Fort St. John,Bachelor units
470,1987,246,British Columbia,Fort St. John,One bedroom units
471,1987,311,British Columbia,Fort St. John,Two bedroom units
472,1987,377,British Columbia,Fort St. John,Three bedroom units
473,1987,254,British Columbia,Kamloops,Bachelor units
474,1987,307,British Columbia,Kamloops,One bedroom units
475,1987,366,British Columbia,Kamloops,Two bedroom units
476,1987,478,British Columbia,Kamloops,Three bedroom units
477,1987,262,British Columbia,Kelowna,Bachelor units
478,1987,347,British Columbia,Kelowna,One bedroom units
479,1987,418,British Columbia,Kelowna,Two bedroom units
480,1987,251,British Columbia,Nanaimo,Bachelor units
481,1987,296,British Columbia,Nanaimo,One bedroom units
482,1987,369,British Columbia,Nanaimo,Two bedroom units
483,1987,395,British Columbia,Nanaimo,Three bedroom units
484,1987,272,British Columbia,North Cowichan,Bachelor units
485,1987,310,British Columbia,North Cowichan,One bedroom units
486,1987,358,British Columbia,North Cowichan,Two bedroom units
487,1987,398,British Columbia,North Cowichan,Three bedroom units
488,1987,237,British Columbia,Penticton,Bachelor units
489,1987,307,British Columbia,Penticton,One bedroom units
490,1987,374,British Columbia,Penticton,Two bedroom units
491,1987,206,British Columbia,Port Alberni,Bachelor units
492,1987,253,British Columbia,Port Alberni,One bedroom units
493,1987,329,British Columbia,Port Alberni,Two bedroom units
494,1987,256,British Columbia,Powell River,Bachelor units
495,1987,320,British Columbia,Powell River,One bedroom units
496,1987,363,British Columbia,Powell River,Two bedroom units
497,1987,293,British Columbia,Prince George,Bachelor units
498,1987,342,British Columbia,Prince George,One bedroom units
499,1987,383,British Columbia,Prince George,Two bedroom units
500,1987,409,British Columbia,Prince George,Three bedroom units
501,1987,308,British Columbia,Prince Rupert,Bachelor units
502,1987,382,British Columbia,Prince Rupert,One bedroom units
503,1987,434,British Columbia,Prince Rupert,Two bedroom units
504,1987,515,British Columbia,Prince Rupert,Three bedroom units
505,1987,227,British Columbia,Salmon Arm,Bachelor units
506,1987,308,British Columbia,Salmon Arm,One bedroom units
507,1987,356,British Columbia,Salmon Arm,Two bedroom units
508,1987,243,British Columbia,Squamish,Bachelor units
509,1987,322,British Columbia,Squamish,Two bedroom units
510,1987,236,British Columbia,Terrace,Bachelor units
511,1987,306,British Columbia,Terrace,One bedroom units
512,1987,323,British Columbia,Terrace,Two bedroom units
